frame,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20,id22,id24,id26,id31,id34,id37,id38,id39,id45,id48,id49,id50,id51,id52,id53,id54,id55,id57,id59,id60,id61,id62,id65,id68,id69,id71,id72,id73,id74,id75
49,"(264.33, 353.92)",,,"(427.43, 444.16)",,"(289.61, 270.80)","(512.17, 368.94)",,,,,"(506.18, 452.37)",,"(527.85, 427.41)","(506.33, 366.58)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"(264.44, 354.04)",,,"(427.48, 444.16)",,"(289.54, 270.93)","(512.23, 369.03)",,,,,"(506.20, 452.27)",,"(527.89, 427.48)","(506.30, 366.61)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"(264.37, 353.98)",,,"(427.62, 444.15)",,,"(512.13, 369.00)",,,,,"(506.25, 452.30)",,"(527.80, 427.42)","(506.25, 366.50)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"(264.13, 354.04)",,,"(427.71, 444.14)",,,"(512.40, 368.90)",,,,,"(506.30, 452.41)",,"(527.50, 427.41)","(506.25, 366.63)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"(263.84, 354.47)",,,"(427.70, 444.14)",,,"(512.44, 368.68)",,,,,"(506.20, 452.46)",,"(527.18, 427.31)","(506.26, 366.41)",,,,"(546.70, 9.73)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"(263.74, 354.90)",,,"(427.75, 444.13)",,,,,,,,"(506.31, 452.44)",,"(527.10, 427.22)",,,,,"(546.73, 9.66)","(430.08, 10.62)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"(263.24, 354.78)",,,"(427.68, 444.13)",,,,,,,,"(506.43, 452.43)",,"(526.40, 427.24)",,,,,"(546.74, 9.66)","(430.14, 10.65)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"(262.51, 354.91)",,,"(427.62, 444.03)",,,,,,"(474.36, 9.26)",,"(506.44, 452.26)",,"(526.08, 426.85)",,,,,"(546.74, 9.71)","(430.12, 10.70)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"(262.51, 355.46)",,,"(427.50, 443.95)",,,,,,"(474.31, 9.20)",,"(506.56, 452.49)",,"(524.79, 427.36)",,,,,"(546.74, 9.67)","(430.13, 10.66)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"(262.17, 355.36)",,,"(427.49, 443.97)",,,,,,"(474.38, 9.22)",,"(506.38, 452.67)",,,,,,,"(546.68, 9.71)","(430.17, 10.65)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"(262.04, 355.82)",,,"(427.52, 443.94)",,,,,,"(474.38, 9.22)",,"(506.24, 452.34)",,,,,,,"(546.74, 9.71)","(430.24, 10.81)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"(262.16, 356.06)",,,"(427.66, 443.92)",,,,,,"(474.32, 9.26)",,"(506.60, 452.47)",,,,,,,"(546.69, 9.79)","(430.30, 10.86)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"(262.10, 356.60)",,,"(427.54, 443.80)",,,,,,"(474.27, 9.26)",,"(506.39, 452.50)",,,,,,,"(546.64, 9.77)","(430.12, 10.81)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"(261.65, 356.44)",,,"(427.19, 443.77)",,,,,,"(474.31, 9.12)",,"(506.03, 452.43)",,"(516.38, 431.48)",,,,,"(546.73, 9.69)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"(261.77, 356.74)",,,"(427.10, 443.29)",,,,,,"(474.22, 9.13)",,"(505.75, 452.08)",,"(514.65, 432.58)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"(261.63, 356.49)",,,"(427.16, 443.27)",,,,,,,,"(505.55, 451.62)",,"(513.10, 433.82)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"(262.75, 352.60)",,,,,,,,,,,"(506.40, 447.80)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
