confidence,min_matching,brownian_pos_noise,lost_track_buffer,asso_func,vial_count_error,per_id_coverage_loss,short_track_count,per_frame_id_variance
0.1,0.3,3.0,180,diou,30.0,244.95833333333331,19,15.01123395027922
0.1,0.3,3.0,180,giou,34.0,249.1578947368421,21,14.986129752919865
0.1,0.3,3.0,240,diou,30.0,244.95833333333331,19,15.01123395027922
0.1,0.3,3.0,240,giou,34.0,249.1578947368421,21,14.986129752919865
0.1,0.3,5.0,30,diou,31.0,246.0,22,15.03120588456563
0.1,0.3,5.0,30,giou,34.0,249.14473684210526,23,15.006055396025989
0.1,0.3,5.0,60,diou,30.0,244.94444444444446,20,15.021622939982041
0.1,0.3,5.0,60,giou,34.0,249.14473684210526,22,14.99653985387269
0.1,0.3,5.0,90,diou,31.0,246.013698630137,21,15.021000120247386
0.1,0.3,5.0,90,giou,35.0,250.1038961038961,23,14.995908160645346
0.1,0.3,5.0,120,diou,30.0,244.93055555555554,20,15.014374467517058
0.1,0.3,5.0,120,giou,34.0,249.13157894736844,22,14.989283350402903
0.1,0.3,5.0,180,diou,30.0,244.93055555555554,20,15.014374467517058
0.1,0.3,5.0,180,giou,34.0,249.13157894736844,22,14.989283350402903
0.1,0.3,5.0,240,diou,30.0,244.93055555555554,20,15.014374467517058
0.1,0.3,5.0,240,giou,34.0,249.13157894736844,22,14.989283350402903
0.1,0.3,10.0,30,diou,31.0,246.0,22,15.03120588456563
0.1,0.3,10.0,30,giou,34.0,249.14473684210526,23,15.006055396025989
0.1,0.3,10.0,60,diou,30.0,244.94444444444446,20,15.021622939982041
0.1,0.3,10.0,60,giou,34.0,249.14473684210526,22,14.99653985387269
0.1,0.3,10.0,90,diou,31.0,246.013698630137,21,15.021000120247386
0.1,0.3,10.0,90,giou,35.0,250.1038961038961,23,14.995908160645346
0.1,0.3,10.0,120,diou,30.0,244.93055555555554,20,15.014374467517058
0.1,0.3,10.0,120,giou,34.0,249.13157894736844,22,14.989283350402903
0.1,0.3,10.0,180,diou,30.0,244.93055555555554,20,15.014374467517058
0.1,0.3,10.0,180,giou,34.0,249.13157894736844,22,14.989283350402903
0.1,0.3,10.0,240,diou,30.0,244.93055555555554,20,15.014374467517058
0.1,0.3,10.0,240,giou,34.0,249.13157894736844,22,14.989283350402903
0.1,0.3,20.0,30,diou,32.0,247.01351351351352,23,15.03120588456563
0.1,0.3,20.0,30,giou,35.0,250.12987012987014,24,14.989610356644523
0.1,0.3,20.0,60,diou,31.0,245.986301369863,21,15.021622939982041
0.1,0.3,20.0,60,giou,35.0,250.12987012987014,23,14.980094814491224
0.1,0.3,20.0,90,diou,32.0,247.02702702702703,22,15.021000120247386
0.1,0.3,20.0,90,giou,36.0,251.06410256410257,24,14.979427303826494
0.1,0.3,20.0,120,diou,31.0,245.97260273972603,21,15.014374467517058
0.1,0.3,20.0,120,giou,35.0,250.11688311688312,23,14.972805602011054
0.1,0.3,20.0,180,diou,31.0,245.97260273972603,21,15.014374467517058
0.1,0.3,20.0,180,giou,35.0,250.11688311688312,23,14.972805602011054
0.1,0.3,20.0,240,diou,31.0,245.97260273972603,21,15.014374467517058
0.1,0.3,20.0,240,giou,35.0,250.11688311688312,23,14.972805602011054
0.1,0.5,1.0,30,diou,99.0,285.4751773049645,94,13.42950262279933
0.1,0.5,1.0,30,giou,104.0,287.1986301369863,99,13.241985043775843
0.1,0.5,1.0,60,diou,103.0,286.53793103448277,97,13.38774278692732
0.1,0.5,1.0,60,giou,112.0,288.84415584415586,105,13.257641850784262
0.1,0.5,1.0,90,diou,107.0,287.56375838926175,100,13.366554972303668
0.1,0.5,1.0,90,giou,116.0,289.753164556962,108,13.236293391342189
0.1,0.5,1.0,120,diou,107.0,287.5771812080537,100,13.370376993177079
0.1,0.5,1.0,120,giou,116.0,289.7658227848101,108,13.240068768711783
0.1,0.5,1.0,180,diou,109.0,288.0993377483444,102,13.366025598849323
0.1,0.5,1.0,180,giou,118.0,290.23125,110,13.235636887206425
0.1,0.5,1.0,240,diou,112.0,288.7922077922078,106,13.365640659860222
0.1,0.5,1.0,240,giou,121.0,290.84662576687117,114,13.234828247556413
0.1,0.5,3.0,30,diou,99.0,285.4609929078014,93,13.433814427520723
0.1,0.5,3.0,30,giou,103.0,286.9655172413793,98,13.24250372740253
0.1,0.5,3.0,60,diou,104.0,286.8013698630137,97,13.377450619247057
0.1,0.5,3.0,60,giou,112.0,288.87012987012986,104,13.250759607685346
0.1,0.5,3.0,90,diou,108.0,287.82,100,13.361003251468976
0.1,0.5,3.0,90,giou,116.0,289.7848101265823,107,13.234193369970283
0.1,0.5,3.0,120,diou,108.0,287.8333333333333,100,13.364818296678923
0.1,0.5,3.0,120,giou,116.0,289.7848101265823,107,13.234193369970283
0.1,0.5,3.0,180,diou,111.0,288.5751633986928,104,13.35901870337042
0.1,0.5,3.0,180,giou,119.0,290.45341614906835,111,13.228297772750675
0.1,0.5,3.0,240,diou,113.0,289.01935483870966,106,13.36279599293666
0.1,0.5,3.0,240,giou,121.0,290.85276073619633,113,13.231896129708877
0.1,0.5,5.0,30,diou,99.0,285.4751773049645,93,13.431682368870177
0.1,0.5,5.0,30,giou,104.0,287.1849315068493,98,13.252418260732552
0.1,0.5,5.0,60,diou,104.0,286.82191780821915,97,13.373005113236758
0.1,0.5,5.0,60,giou,112.0,288.8636363636364,104,13.258272481542576
0.1,0.5,5.0,90,diou,108.0,287.82666666666665,100,13.358114392925462
0.1,0.5,5.0,90,giou,116.0,289.7658227848101,107,13.243262397105067
0.1,0.5,5.0,120,diou,108.0,287.84000000000003,100,13.361929438135407
0.1,0.5,5.0,120,giou,116.0,289.7658227848101,107,13.243262397105067
0.1,0.5,5.0,180,diou,111.0,288.58169934640523,104,13.35604037575399
0.1,0.5,5.0,180,giou,119.0,290.4347826086956,111,13.237276921898566
0.1,0.5,5.0,240,diou,113.0,289.0322580645161,106,13.359234567615491
0.1,0.5,5.0,240,giou,121.0,290.840490797546,113,13.240302876253981
0.1,0.5,10.0,30,diou,98.0,285.23571428571427,92,13.416317888735646
0.1,0.5,10.0,30,giou,103.0,286.9655172413793,97,13.237070389063556
0.1,0.5,10.0,60,diou,103.0,286.6,96,13.357452296697867
0.1,0.5,10.0,60,giou,111.0,288.6666666666667,103,13.242736273469218
0.1,0.5,10.0,90,diou,107.0,287.6174496644295,99,13.342416199021566
